MapName, ScenarioName, Algorithm, Agents,Orders,frequency, MakeSpan, RunTime, Movements, Waitings, Cost, Seed,
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,0.2,1110,00:00:15.2917326,16428,10947,17522.7,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,0.5,762,00:01:29.0309731,15706,2969,16002.9,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,1,716,00:02:09.3463666,15305,2220,15527,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,2,687,00:01:16.3194988,14978,1822,15160.2,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,5,744,00:03:13.1193073,15258,2967,15554.7,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,25,200,10,691,00:03:38.7116565,15127,1773,15304.3,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,0.2,1111,00:00:14.0545370,16062,16898,17751.8,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,0.5,631,00:03:54.5482701,15839,2721,16111.1,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,1,609,00:03:34.9995286,15248,2652,15513.2,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,2,653,00:02:48.7270389,15199,4021,15601.1,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,5,618,00:10:59.6673219,15107,3063,15413.3,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_CBS,30,200,10,567,00:06:55.9739049,14964,1676,15131.6,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,0.2,1721,00:00:07.9573999,16810,0,16810,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,0.5,1693,00:00:03.6088521,16530,0,16530,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,1,1631,00:00:04.6652125,15910,0,15910,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,2,1619,00:00:02.6690240,15790,0,15790,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,5,1596,00:00:02.9502505,15560,0,15560,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,10,200,10,1663,00:00:04.1399639,16230,0,16230,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,15,200,0.2,1259,00:00:10.1955592,18485,0,18485,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,15,200,0.5,1131,00:00:03.4979885,16565,0,16565,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,15,200,1,1119,00:00:03.4664381,16385,0,16385,43
room-64-64-16-random,room-64-64-16-random,CENTRAL_ASTAR,15,200,2,1126,00:00:02.7347884,16490,0,16490,43
